address,latitude,longitude,floorSize,price,url
"3823 Walton Ave, Los Angeles, CA 90037",34.016636,-118.29517,"1,944","$670,000",https://www.zillow.com/homedetails/3823-Walton-Ave-Los-Angeles-CA-90037/20582223_zpid/
"8333 Columbus Ave Unit 26, North Hills, CA 91343",34.222446,-118.46607,"1,343","$490,000",https://www.zillow.com/homedetails/8333-Columbus-Ave-UNIT-26-North-Hills-CA-91343/20135901_zpid/
"19250 Woodmont Dr, Porter Ranch, CA 91326",34.286545,-118.55226,"2,544","$1,200,000",https://www.zillow.com/homedetails/19250-Woodmont-Dr-Porter-Ranch-CA-91326/20199871_zpid/
"2980 Belden Dr, Los Angeles, CA 90068",34.12321,-118.32169,"2,861","$2,950,000",https://www.zillow.com/homedetails/2980-Belden-Dr-Los-Angeles-CA-90068/20806552_zpid/
"360 Avenue 26 #141, Los Angeles, CA 90031",34.08189,-118.22039,"1,500","$649,888",https://www.zillow.com/homedetails/360-Avenue-26-141-Los-Angeles-CA-90031/79799494_zpid/
"3605 Kalsman Dr Unit 1, Los Angeles, CA 90016",34.020992,-118.37524,913,"$530,000",https://www.zillow.com/homedetails/3605-Kalsman-Dr-UNIT-1-Los-Angeles-CA-90016/20431051_zpid/
"584 N Lucerne Blvd, Los Angeles, CA 90004",34.081387,-118.3245,"1,986","$2,500,000",https://www.zillow.com/homedetails/584-N-Lucerne-Blvd-Los-Angeles-CA-90004/20782710_zpid/
"5112 Ambrose Ave, Los Angeles, CA 90027",34.10835,-118.30121,"4,878","$6,795,000",https://www.zillow.com/homedetails/5112-Ambrose-Ave-Los-Angeles-CA-90027/20809719_zpid/
"4641 Vista De Oro Ave, Woodland Hills, CA 91364",34.153965,-118.581535,"4,754","$2,935,000",https://www.zillow.com/homedetails/4641-Vista-De-Oro-Ave-Woodland-Hills-CA-91364/19946017_zpid/
"1130 S Flower St Apt 202, Los Angeles, CA 90015",34.042034,-118.26448,"1,188","$639,000",https://www.zillow.com/homedetails/1130-S-Flower-St-APT-202-Los-Angeles-CA-90015/63091425_zpid/
"957 Figueroa Ter #314, Los Angeles, CA 90012",34.068108,-118.24386,"1,353","$1,085,000",https://www.zillow.com/homedetails/957-Figueroa-Ter-314-Los-Angeles-CA-90012/2069332739_zpid/
"15831 Olden St Space 43, Sylmar, CA 91342",34.313587,-118.47591,"1,440","$165,000",https://www.zillow.com/homedetails/15831-Olden-St-SPACE-43-Sylmar-CA-91342/136688052_zpid/
"4203 Bluebell Ave, Studio City, CA 91604",34.146942,-118.41072,"3,260","$2,795,000",https://www.zillow.com/homedetails/4203-Bluebell-Ave-Studio-City-CA-91604/20029277_zpid/
"2928 Park Center Dr, Los Angeles, CA 90068",34.123928,-118.34399,"1,274","$1,399,000",https://www.zillow.com/homedetails/2928-Park-Center-Dr-Los-Angeles-CA-90068/20045947_zpid/
"450 N Robinwood Dr, Los Angeles, CA 90049",34.066998,-118.4828,"2,740","$2,895,000",https://www.zillow.com/homedetails/450-N-Robinwood-Dr-Los-Angeles-CA-90049/20560241_zpid/
"706 N Madison Ave, Los Angeles, CA 90029",34.08397,-118.28903,400,"$499,000",https://www.zillow.com/homedetails/706-N-Madison-Ave-Los-Angeles-CA-90029/20791019_zpid/
"1911 Sunset Plaza Dr, Los Angeles, CA 90069",34.103527,-118.382385,"4,800","$6,350,000",https://www.zillow.com/homedetails/1911-Sunset-Plaza-Dr-Los-Angeles-CA-90069/95650817_zpid/
"825 N Croft Ave #204, West Hollywood, CA 90069",34.085762,-118.37422,"1,413","$1,499,000",https://www.zillow.com/homedetails/825-N-Croft-Ave-204-West-Hollywood-CA-90069/2067407579_zpid/
"6612 2nd Ave, Los Angeles, CA 90043",33.97877,-118.31939,"1,581","$1,100,000",https://www.zillow.com/homedetails/6612-2nd-Ave-Los-Angeles-CA-90043/20327642_zpid/
"7624 Arcola Ave, Sun Valley, CA 91352",34.20944,-118.35273,"2,024","$799,000",https://www.zillow.com/homedetails/7624-Arcola-Ave-Sun-Valley-CA-91352/20036129_zpid/
"2545 6th Ave, Los Angeles, CA 90018",34.033264,-118.32397,"2,925","$960,000",https://www.zillow.com/homedetails/2545-6th-Ave-Los-Angeles-CA-90018/20595064_zpid/
"649 E 52nd St, Los Angeles, CA 90011",33.99598,-118.263985,"1,154","$649,999",https://www.zillow.com/homedetails/649-E-52nd-St-Los-Angeles-CA-90011/20613139_zpid/
"10334 Juniper St, Los Angeles, CA 90002",33.942078,-118.23247,"1,064","$385,000",https://www.zillow.com/homedetails/10334-Juniper-St-Los-Angeles-CA-90002/20967805_zpid/
"5322 Lincoln Ave, Los Angeles, CA 90042",34.11896,-118.200035,"2,606","$1,588,000",https://www.zillow.com/homedetails/5322-Lincoln-Ave-Los-Angeles-CA-90042/20767338_zpid/
"8842 Evanview Dr, Los Angeles, CA 90069",34.09945,-118.38174,"5,044","$7,995,000",https://www.zillow.com/homedetails/8842-Evanview-Dr-Los-Angeles-CA-90069/20798184_zpid/
"10913 Whipple St Unit 304, Toluca Lake, CA 91602",34.148453,-118.36779,"1,348","$735,000",https://www.zillow.com/homedetails/10913-Whipple-St-UNIT-304-Toluca-Lake-CA-91602/79805805_zpid/
"315 S Hudson Ave, Los Angeles, CA 90020",34.068405,-118.33294,"13,240","$24,999,000",https://www.zillow.com/homedetails/315-S-Hudson-Ave-Los-Angeles-CA-90020/20774974_zpid/
"1324 N Stradella Rd, Los Angeles, CA 90077",34.09707,-118.45524,"8,656","$12,995,000",https://www.zillow.com/homedetails/1324-N-Stradella-Rd-Los-Angeles-CA-90077/2067566101_zpid/
"1440 Veteran Ave Apt 406, Los Angeles, CA 90024",34.053345,-118.44355,661,"$549,000",https://www.zillow.com/homedetails/1440-Veteran-Ave-APT-406-Los-Angeles-CA-90024/20504365_zpid/
"7560 Woodman Pl Space 50, Van Nuys, CA 91405",34.206364,-118.42858,720,"$120,000",https://www.zillow.com/homedetails/7560-Woodman-Pl-SPACE-50-Van-Nuys-CA-91405/136686799_zpid/
"623 N Sierra Bonita Ave, Los Angeles, CA 90036",34.082508,-118.35457,"2,268","$2,399,000",https://www.zillow.com/homedetails/623-N-Sierra-Bonita-Ave-Los-Angeles-CA-90036/20785246_zpid/
